,0
202,"('do you want a new nokia 3510i colour phone delivered tomorrow? with 200 free minutes to any mobile + 100 free text + free camcorder reply or call 8000930705', 1)"
203,"('for your chance to win a free bluetooth headset then simply reply back with \\adp\\""""', 1)"
204,"('welcome to uk-mobile-date this msg is free giving you free calling to 08719839835. future mgs billed at 150p daily. to cancel send \\go stop\\"" to 89123""', 1)"
205,"('congratulations ur awarded 500 of cd vouchers or 125gift guaranteed & free entry 2 100 wkly draw txt music to 87066', 1)"
206,"('had your contract mobile 11 mnths? latest motorola, nokia etc. all free! double mins & text on orange tariffs. text yes for callback, no to remove from records', 1)"
207,"('please call our customer service representative on 0800 169 6031 between 10am-9pm as you have won a guaranteed å£1000 cash or å£5000 prize!', 1)"
208,"('urgent! your mobile no 07808726822 was awarded a å£2,000 bonus caller prize on 02/09/03! this is our 2nd attempt to contact you! call 0871-872-9758 box95qu', 1)"
209,"('free game. get rayman golf 4 free from the o2 games arcade. 1st get ur games settings. reply post, then save & activ8. press 0 key for arcade. termsapply', 1)"
210,"('had your mobile 10 mths? update to the latest camera/video phones for free. keep ur same number, get extra free mins/texts. text yes for a call', 1)"
211,"('urgent! your mobile number has been awarded with a å£2000 prize guaranteed. call 09061790121 from land line. claim 3030. valid 12hrs only 150ppm', 1)"
212,"('urgent this is our 2nd attempt to contact u. your å£900 prize from yesterday is still awaiting collection. to claim call now 09061702893', 1)"
213,"('you have won! as a valued vodafone customer our computer has picked you to win a å£150 prize. to collect is easy. just call 09061743386 ', 1)"
214,"('**free message**thanks for using the auction subscription service. 18 . 150p/msgrcvd 2 skip an auction txt out. 2 unsubscribe txt stop customercare 08718726270', 1)"
215,"('no 1 polyphonic tone 4 ur mob every week! just txt pt2 to 87575. 1st tone free ! so get txtin now and tell ur friends. 150p/tone. 16 reply hl 4info', 1)"
216,"('ou are guaranteed the latest nokia phone, a 40gb ipod mp3 player or a å£500 prize! txt word: collect to no: 83355! ibhltd ldnw15h 150p/mtmsgrcvd18', 1)"
217,"('* free* polyphonic ringtone text super to 87131 to get your free poly tone of the week now! 16 sn pobox202 nr31 7zs subscription 450pw', 1)"
218,"('warner village 83118 c colin farrell in swat this wkend @warner village & get 1 free med. popcorn!just show msg+ticket@kiosk.valid 4-7/12. c t&c @kiosk. reply sony 4 mre film offers', 1)"
219,"('this is the 2nd time we have tried 2 contact u. u have won the 750 pound prize. 2 claim is easy, call 08712101358 now! only 10p per min. bt-national-rate', 1)"
220,"('hi this is amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...', 1)"
221,"('welcome to select, an o2 service with added benefits. you can now call our specially trained advisors free from your mobile by dialling 402.', 1)"
222,"('urgent! we are trying to contact u. todays draw shows that you have won a å£2000 prize guaranteed. call 09058094507 from land line. claim 3030. valid 12hrs only', 1)"
223,"('you have won a guaranteed å£1000 cash or a å£2000 prize. to claim yr prize call our customer service representative on 08714712412 between 10am-7pm cost 10p', 1)"
224,"('jamster! to get your free wallpaper text heart to 88888 now! t&c apply. 16 only. need help? call 08701213186.', 1)"
225,"('free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts. call mobileupd8 08001950382 or call2optout/674', 1)"
226,"('this is the 2nd attempt to contract u, you have won this weeks top prize of either å£1000 cash or å£200 prize. just call 09066361921', 1)"
227,"('do you want a new nokia 3510i colour phone deliveredtomorrow? with 300 free minutes to any mobile + 100 free texts + free camcorder reply or call 08000930705.', 1)"
228,"('themob>hit the link to get a premium pink panther game, the new no. 1 from sugababes, a crazy zebra animation or a badass hoody wallpaper-all 4 free!', 1)"
229,"('december only! had your mobile 11mths+? you are entitled to update to the latest colour camera mobile for free! call the mobile update vco free on 08002986906 ', 1)"
230,"('free for 1st week! no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates. www.getzed.co.uk pobox 36504 w45wq 16+ norm150p/tone', 1)"
231,"('get your garden ready for summer with a free selection of summer bulbs and seeds worth å£33:50 only with the scotsman this saturday. to stop go2 notxt.co.uk', 1)"
232,"('sms auction - a brand new nokia 7250 is up 4 auction today! auction is free 2 join & take part! txt nokia to 86021 now!', 1)"
233,"('our records indicate u maybe entitled to 5000 pounds in compensation for the accident you had. to claim 4 free reply with claim to this msg. 2 stop txt stop', 1)"
234,"('spook up your mob with a halloween collection of a logo & pic message plus a free eerie tone, txt card spook to 8007 zed 08701417012150p per logo/pic ', 1)"
235,"('had your mobile 11mths ? update for free to oranges latest colour camera mobiles & unlimited weekend calls. call mobile upd8 on freefone 08000839402 or 2stoptxt', 1)"
236,"(""if you don't, your prize will go to another customer. t&c at www.t-c.biz 18+ 150p/min polo ltd suite 373 london w1j 6hl please call back if busy "", 1)"
237,"('urgent! your mobile number has been awarded with a å£2000 prize guaranteed. call 09061790126 from land line. claim 3030. valid 12hrs only 150ppm', 1)"
238,"('urgent! you have won a 1 week free membership in our å£100,000 prize jackpot! txt the word: claim to no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18', 1)"
239,"('xmas iscoming & ur awarded either å£500 cd gift vouchers & free entry 2 r å£100 weekly draw txt music to 87066 tnc www.ldew.com1win150ppmx3age16subscription ', 1)"
240,"('u r subscribed 2 textcomp 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt stop 2 84128,custcare 08712405020', 1)"
241,"('free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800, psp or å£250 cash every wk.txt great to 80878 http//www.gr8prizes.com 08715705022', 1)"
242,"('you have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). its a legitimat efreefone number wat do u think???', 1)"
243,"('december only! had your mobile 11mths+? you are entitled to update to the latest colour camera mobile for free! call the mobile update co free on 08002986906', 1)"
244,"('get your garden ready for summer with a free selection of summer bulbs and seeds worth å£33:50 only with the scotsman this saturday. to stop go2 notxt.co.uk', 1)"
245,"('urgent we are trying to contact you last weekends draw shows u have won a å£1000 prize guaranteed call 09064017295 claim code k52 valid 12hrs 150p pm', 1)"
246,"('marvel mobile play the official ultimate spider-man game (å£4.50) on ur mobile right now. text spider to 83338 for the game & we ll send u a free 8ball wallpaper', 1)"
247,"('asked 3mobile if 0870 chatlines inclu in free mins. india cust servs sed yes. l8er got mega bill. 3 dont giv a shit. bailiff due in days. i o å£250 3 want å£800', 1)"
248,"('had your contract mobile 11 mnths? latest motorola, nokia etc. all free! double mins & text on orange tariffs. text yes for callback, no to remove from records.', 1)"
249,"('reminder from o2: to get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode', 1)"
250,"('this is the 2nd time we have tried 2 contact u. u have won the å£750 pound prize. 2 claim is easy, call 087187272008 now1! only 10p per minute. bt-national-rate.', 1)"
